Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks
WWHT,,107.9,SYRACUSE,NY,USA,CONTEMPORARY HIT RADIO,HOT 107.9,57842,50,50,152,152,42-57-21,76-06-36,,HD,1F89,All The Hits for Syracuse,HOT107.9 All The Hits for Syracuse,Top 40,
KBQI,,107.9,ALBUQUERQUE,NM,USA,COUNTRY,BIG I 107.9,4706,22.5,22.5,1259,1259,35-12-43,106-26-59,,HD,144C,BIG I Title & Artist,BIG I Title & Artist,Country,
WWPH,,107.9,PRINCETON JUNCTION,NJ,USA,VARIETY,"PIRATE RADIO, KNIGHTTIME RADIO",71694,0.017,0,11,0,40-18-20,74-37-16,,,,,,,
KEZA,,107.9,FAYETTEVILLE,AR,USA,ADULT CONTEMPORARY,MAGIC 107.9,12702,99,99,384,384,35-51-12,94-01-33,,,1D1A,KEZA,Magic 107.9,Soft Rock,
WNTR,,107.9,INDIANAPOLIS,IN,USA,HOT AC,107.9 THE MIX,47143,22,22,232,232,39-53-43,86-12-04,,HD,78FB,WNTR + Commercial Ads,Commercial advertising,Adult Hits,
WBCV,,107.9,WAUSAU,WI,USA,ADULT HITS,BIG CHEESE 107.9,59608,100,100,314,314,45-03-33,89-26-10,,,5795,BIG CHEESE 107.9,BIG CHEESE 107.9,Rock,
KZRS,,107.9,GREAT BEND,KS,USA,CLASSIC HITS,CLASSIC HITS 107.9,37129,100,100,277,277,38-46-16,98-44-18,,,53D0,Classic Hits 107.9 KZRS,Title & Artist,,Also heard on KLQR-1510
WENZ,,107.9,CLEVELAND,OH,USA,URBAN CONTEMPORARY,Z-107.9,2685,16,15,272,272,41-27-54,81-17-13,,HD,A6A3,Z107.9 Artist/Title,"Z107.9 Artist/Title, Ads",Rhythm and Blues,
WCVQ,,107.9,FORT CAMPBELL,KY,USA,HOT AC,Q 108,61253,100,100,269,269,36-32-26,87-39-41,,HD,5C22,Title & Artist on Q108 | Q108 Today's Best Music,Title & Artist on Q108,Top 40,
KMLE,,107.9,CHANDLER,AZ,USA,COUNTRY,CAMEL COUNTRY 107.9,59965,96,96,529,529,33-20-03,112-03-46,,HD,A3D2,KMLE,KMLE Country 107.9 - the Valley's New Country Leader,Country,
WEBE,,107.9,WESTPORT,CT,USA,ADULT CONTEMPORARY,CONNECTICUT'S BEST MUSIC VARIETY,71389,20.5,20.5,202,202,41-16-44,73-11-08,,HD,5F56,WEBE108,WEBE108 Connecticut's Best Music Variety,Adult Hits,
WAMW-FM,,107.9,WASHINGTON,IN,USA,CLASSIC HITS,MEMORIES 107.9,25209,3,3,100,100,38-38-47,87-16-47,,,55F6,,,,
WFCA,,107.9,ACKERMAN,MS,USA,SOUTHERN GOSPEL/RELIGIOUS TEACHING,THE VOICE OF FRENCH CAMP ACADEMY,22628,100,100,307,307,33-25-25,89-24-13,,,6210,,,,FRENCH CAMP RADIO
KLTE,,107.9,KIRKSVILLE,MO,USA,RELIGIOUS TEACHING,BOTT RADIO NETWORK,66670,97,97,299,299,39-57-23,92-58-29,,,2EFE,Bott Radio Network,Leading the way - Michael Yousef,Religious Talk,
WLEY-FM,,107.9,AURORA,IL,USA,REGIONAL MEXICAN,LA LEY,71282,21,21,232,232,41-56-03,88-04-22,Spanish,,7234,LA LEY 107.9 FM,Visita laley1079.com & lamusica.com,No Program Type or Undefined,
WXKS-FM,,107.9,MEDFORD,MA,USA,CONTEMPORARY HIT RADIO,KISS 108,53965,20.5,20.5,235,235,42-20-50,71-04-59,,HD,127A,KISS 108 Boston's Hit Music! Artist/Title,KISS 108 Boston's Hit Music! Artist/Title,Top 40,
KKOL-FM,,107.9,AIEA,HI,USA,CLASSIC HITS,HONOLULU'S DECADES 107.9,70384,100,80,599,599,21-23-51,0158-06-01,,,2BDF,,,,
W300AE,WGIB 91.9,107.9,TUSCALOOSA,AL,USA,RELIGIOUS TEACHING,WHERE GOD IS BLESSING,24258,0.25,0.25,29,29,33-13-44,87-32-30,,,,,,,
K300AB,KTKU 105.1,107.9,JUNEAU,AK,USA,COUNTRY,TAKU 105,822,0,0.048,0,2,58-22-15,134-33-11,,,,,,,
K300DZ,KBTK 97.1,107.9,PRESCOTT,AZ,USA,TALK,97.1 THE BIG TALKER,41610,0.045,0.045,0,0,34-29-20,112-32-15,,,,,,,
KZRK-FM,,107.9,CANYON,TX,USA,ROCK,"ROCK 108, AMARILLO`S ROCK STATION",27009,100,100,145,145,35-13-36,102-00-26,,,53C8,107.9 Rock 108 Amarillo's Rock Station,107.9 Rock 108 Amarillo's Rock Station,Rock,
KXLT-FM,,107.9,EAGLE,ID,USA,ADULT CONTEMPORARY,107.9 LITE FM,18049,45,45,818,818,43-45-18,116-05-55,,,4DED,KXLT-FM,"The Best Variety Of The 80's, 90's, and Today on LITE FM",Adult Hits,
NEW,,107.9,ST. MICHAEL,AK,USA,,,788127,0.1,0.1,4,4,63-28-41,162-01-58,,CP-new,,,,,
KQLM,,107.9,ODESSA,TX,USA,REGIONAL MEXICAN,Q 108 LA MADRE DE TODAS,57918,100,100,323,323,32-05-11,102-17-11,Spanish,,,,,,
K300AG,KSSD 107.1,107.9,ESCALANTE,UT,USA,CONTEMPORARY HIT RADIO,SUPER ESTRELLA,19738,0.01,0.01,-10,-10,37-47-15,111-35-45,Spanish,,,,,,
WGTR,,107.9,BUCKSPORT,SC,USA,COUNTRY,GATOR 107.9,3118,20,20,239,239,33-35-45,79-03-11,,,83FB - 'WRXZ',#1 For New Country! Gator 107.9 - Song/Artist,#1 For New Country! Gator 107.9 - Song/Artist,Country,PI code currently same as WRXZ 107.1
WMUS,,107.9,MUSKEGON,MI,USA,COUNTRY,107 MUS,70635,15,15,128,128,43-16-38,86-20-05,,HD,1672,107 MUS The Moose - The Lakeshores Country,107 MUS The Moose - The Lakeshores Country,Country,
K300DY,KAHL-1310,107.9,SAN ANTONIO,TX,USA,ADULT STANDARDS,,6147,0.25,0.25,176,0,29-25-07,98-29-02,,,,,,,
W300AO,WJRZ-FM HD2,107.9,MANAHAWKIN,NJ,USA,ROCK,95.9 THE RAT,77769,0.25,0.25,98,0,39-41-54,74-14-05,,,819F,,-,,
WEMM-FM,,107.9,HUNTINGTON,WV,USA,RELIGIOUS TEACHING,GOSPEL 107.9,43860,50,50,150,150,38-28-44,82-14-58,,,A67C,,,,
WNCT-FM,,107.9,GREENVILLE,NC,USA,CLASSIC HITS,107.9 WNCT,54388,100,100,518,518,35-21-55,77-23-38,,,7743,WNCT 107.9 - Song/Artist,107.9 The Greatest hits of all time,Adult Hits,
KSEA,,107.9,GREENFIELD,CA,USA,REGIONAL MEXICAN,RADIO CAMPESINA,68169,0.87,0.87,499,499,36-23-00,121-25-44,Spanish,,,,,,
WBTF,,107.9,MIDWAY,KY,USA,URBAN CONTEMPORARY,THE BEAT,4592,6,6,86,86,38-02-44,84-39-29,,,,,,,
KMBI-FM,,107.9,SPOKANE,WA,USA,RELIGIOUS TEACHING,MOODY RADIO,66099,64,64,725,725,47-34-15,117-05-00,,HD,2FD2,,,Religious Talk,
WEAT,,107.9,WEST PALM BEACH,FL,USA,ADULT CONTEMPORARY,SUNNY 107.9,1918,100,100,130,130,26-45-47,80-12-19,,HD,5F4B,107-9 Best Variety 80's 90's and Today,107-9 Best Variety 80's 90's and Today,Soft,
WKYR-FM,,107.9,BURKESVILLE,KY,USA,COUNTRY,RIVER COUNTRY,73199,6,6,95,95,36-47-26,85-22-47,,,5B7E,,,,
KFIN,,107.9,JONESBORO,AR,USA,COUNTRY,THE BIG 107.9 K-FINE,17690,98,98,183,183,35-47-56,90-44-31,,,1.00E+11,,THE BIG 107.9 KFIN,,
WCRZ,,107.9,FLINT,MI,USA,ADULT CONTEMPORARY,CARS 108,20446,50,50,101,101,42-58-49,83-34-40,,HD,5BC3,CARS 108,Cas 108 Weekend,Adult Hits,
KHPE,,107.9,ALBANY,OR,USA,CONTEMPORARY CHRISTIAN/RELIGIOUS TEACHING,HOPE 107.9,838,100,100,354,354,44-38-46,123-16-11,,,2406,,,,
WLEY-FM3,WLEY-FM 107.9,107.9,CHICAGO,IL,USA,REGIONAL MEXICAN,LA LEY,199003,0.026,0.099,0,0,41-52-09,87-41-36,Spanish,,,,,,
WOTH,,107.9,WILLIAMSPORT,PA,USA,CONTEMPORARY HIT RADIO,HOT 107.9,3633,3.4,3.4,135,135,41-16-50,76-50-03,,,7B95,,,,
WWAG,,107.9,MCKEE,KY,USA,COUNTRY,REAL COUNTRY 107.9,15508,3.9,3.9,125,125,37-23-39,83-54-27,,,,,,,
KWVE-FM,,107.9,SAN CLEMENTE,CA,USA,RELIGIOUS TEACHING,K-WAVE,8410,0.53,0.53,1156,1156,33-42-40,117-31-58,,HD,4C3E,Current Show on KWAVE 107.9,Current Show on KWAVE 107.9,Religious Talk,// KWVE-1110
WJFX,,107.9,NEW HAVEN,IN,USA,CONTEMPORARY HIT RADIO,HOT 107.9,1065,3.2,3.2,138,138,41-01-26,85-03-51,,HD,6D05,HOT1079 is Fort Wayne's HOT1079,HOT1079 Title & Artist,Top 40,
K300EA,KAXE 91.7,107.9,BEMIDJI,MN,USA,NEWS/VARIETY,NORTHERN COMMUNITY RADIO KAXE-FM,49542,0.092,0.092,0,0,47-33-26,94-48-05,,,,,,,
W300AL,WQKO 91.9,107.9,MISHAWAKA,IN,USA,RELIGIOUS TEACHING,TRUTH HEARD IN BLACK & WHITE - WITHOUT COMPROMISE,81894,0,0.01,194,0,41-36-59,86-11-44,,,,,,,Calvary Radio Network
W300AQ,WVAM 1450,107.9,SAINT MARYS,WV,USA,OLDIES,TRUE OLDIES,86072,0.175,0.175,108,0,39-22-49,81-11-36,,,,,,,
KELQ,,107.9,FLANDREAU,SD,USA,TALK,KELO AM 1320-107.9 FM,36933,21,21,232,232,43-57-56,96-49-12,,,1BBC,KELO.COM,KELO News Talk 1320,Talk,// KELO 1320
KEYJ-FM,,107.9,ABILENE,TX,USA,ROCK,"ROCK 108, ABILENE'S ROCK STATION",17804,100,100,270,270,32-16-35,99-35-39,,,1D09,Title & Artist,,,
KCLQ,,107.9,LEBANON,MO,USA,CLASSIC HITS,THE COYOTE,36877,22,22,198,198,37-48-11,92-33-02,,,1676,107.9 THE COYOTE,107.9 THE COYOTE,Country,
KWPW,,107.9,ROBINSON,TX,USA,COUNTRY,107.9 THE BULL,57377,6,6,100,100,31-30-34,97-10-04,,HD,4,,,,
WEES-LP,,107.9,OCEAN CITY,MD,USA,VARIETY,,123612,0.015,0.015,75,0,38-24-59,75-03-24,,,,,,,
WMLZ-LP,,107.9,TEMPERANCE,MI,USA,CLASSIC ROCK,Z 108,124218,0.1,0.1,20,20,41-46-01,83-35-31,,,758F,,Bedford High School,,
KLLE,,107.9,NORTH FORK,CA,USA,REGIONAL MEXICAN,LA PICOSA 107.9,31716,1.75,1.75,374,374,37-17-42,119-33-51,Spanish,HD,,,,,
KBDL-LP,,107.9,CARBONDALE,CO,USA,TRAVEL INFO,,131677,0.1,0.1,-237.6,0,39-23-27,0107-12-27,,,,,,,
KASP-LP,,107.9,ASPEN,CO,USA,TRAVEL INFO,,131679,0.1,0.1,-279,0,39-13-18,106-51-39,,,,,,,
WLJD,,107.9,CHARLEVOIX,MI,USA,RELIGIOUS TEACHING,WE'RE LIFTING JESUS' NAME,87539,5,5,50,50,45-20-00,85-14-47,,,72A1,SRN News on WLJN 89.9 FM,WLJN FM & WLJN.COM,Religious Music,
WRWN,,107.9,PORT ROYAL,SC,USA,CLASSIC HITS,REWIND 107.9,72387,24,24,221,221,32-13-36,80-50-53,,,83D5,"Rewind 107.9 Latest Hits of the 70's, 80's and more!","Rewind 107.9 Latest Hits of the 70's, 80's and more!",Adult Hits,
KRLG-LP,,107.9,KREMMLING,CO,USA,TRAVEL INFO,,131686,0.1,0.1,-97,0,40-03-41,106-24-02,,,,,,,
KLEV-LP,,107.9,LEADVILLE,CO,USA,TRAVEL INFO,,131652,0.1,0.1,-86,0,39-14-27,106-17-43,,,,,,,
WUCR-LP,,107.9,LAKE BUTLER,FL,USA,VARIETY,,134253,0.1,0.1,29,0,30-01-06,82-20-31,,,,,,,
WRBG-LP,,107.9,MILLSBORO,DE,USA,VARIETY,,131943,0.1,0.1,25,0,38-34-13,75-18-12,,,,,,,
WDSG-LP,,107.9,SANFORD,NC,USA,ADULT STANDARDS,,134499,0.032,0.032,52,0,35-28-52,79-10-50,,,,,,,
WZEN-LP,,107.9,HAMMOND,LA,USA,VARIETY,,123633,0.036,0.036,49,0,30-30-02,90-27-40,,,,,,,
WPFM,,107.9,PANAMA CITY,FL,USA,CONTEMPORARY CHRISTIAN,K-LOVE,42372,98.5,98.5,238,238,30-25-59,85-24-51,,,7CD2,HOT 1079,-,Top 40,
KFMW,,107.9,WATERLOO,IA,USA,ROCK,ROCK 108,51664,77,77,550,550,42-24-02,91-50-36,,,1.00E+82,,,Rock,
KUMT-FM4,KUMT 107.9,107.9,BOUNTIFUL,UT,USA,TALK,BYU RADIO TOGETHER KUMT 107.9,136266,2.2,2.2,0,0,40-50-05,111-52-06,,,,,,,
KDXX,KESS 107.1,107.9,LEWISVILLE,TX,USA,SPANISH HITS,107.9 & 107.1 LATINO MIX,57376,100,100,299,299,33-19-42,97-03-56,Spanish,HD,1A59,LATINO MIX 107.9 Title & Artist,,Language,
WDTF-LP,,107.9,BERKELEY SPRINGS,WV,USA,RELIGIOUS TEACHING,,135458,0.1,0.1,29,0,39-37-01,78-13-00,,,,,,,
KFAN-FM,,107.9,JOHNSON CITY,TX,USA,AMERICANA/ADULT ALTERNATIVE,TEXAS REBEL 107.9,22671,14.5,14.5,132,132,30-23-35,98-35-53,,,1D41,TXRADIO,-,,
K300AN,KJBI 100.1,107.9,CHAMBERLAIN,SD,USA,CLASSIC HITS,THE EAGLE 100.1FM/107.9FM,138415,0.14,0.14,0,0,43-47-20,99-19-23,,,,,,,
WSRZ-FM,,107.9,CORAL COVE,FL,USA,CLASSIC HITS,,48673,47,47,155,155,27-09-03,82-27-51,,HD,8603,W S R Z,-,,
KEAE-LP,,107.9,EAGLE,CO,USA,TRAVEL INFO,,131644,0.1,0.1,-229,0,39-38-59,106-50-02,,,,,,,
WRFA-LP,,107.9,JAMESTOWN,NY,USA,VARIETY,RADIO FOR THE ARTS,132401,0.1,0.1,11,0,42-05-48,79-14-22,,,,,,,
KRQC-LP,,107.9,DAVENPORT,IA,USA,RELIGIOUS TEACHING,,135708,0.1,0.1,28,0,41-34-39,90-34-14,,,,,,,3ABN
WJZP-LP,,107.9,PORTLAND,ME,USA,JAZZ/VARIETY,,124197,0.031,0,53,0,43-39-25,70-15-52,,,6F05,WJZP LP,The Downtown Groove,,
WELV-LP,,107.9,ELLENVILLE,NY,USA,VARIETY,,131711,0.1,0.1,-123,0,41-43-07,74-23-21,,,,,,,
WOGT,,107.9,EAST RIDGE,TN,USA,COUNTRY,107.9 COUNTRY,54527,25,25,100,100,35-07-33,85-17-25,,,7A4F,,,,
WPPZ-FM,,107.9,PENNSAUKEN,NJ,USA,R&B OLDIES,CLASSIX 107.9,12211,0.78,0.78,276,276,39-57-09,75-10-05,,HD,7DE3,CLASSIX 107.9,Classix 107.9,,
WDRW-LP,,107.9,ATHENS,GA,USA,RELIGIOUS TEACHING,,123738,0.094,0.094,33,0,33-57-11,83-24-31,,,0,WDRW-LP,706.352.9271,,
WBQK,,107.9,WEST POINT,VA,USA,COUNTRY,CANNON COUNTRY,73906,4,4,100,100,37-27-00,76-48-46,,,58F6,,-,,
WBT-FM,,107.9,CHARLOTTE,NC,USA,NEWS/TALK,NEWSTALK 1110 AND 107.9,30834,100,100,516,516,35-21-51,81-11-13,,HD,,,,,
WWMA-LP,,107.9,AVON PARK,FL,USA,RELIGIOUS TEACHING,WWMA 107.9,135055,0.1,0.1,20,0,27-37-40,81-31-24,,,,,,,
KQQL,,107.9,ANOKA,MN,USA,CLASSIC HITS,KOOL 108,54457,100,100,333,333,45-20-20,93-23-28,,HD,1BEB,KOOL 108 - Artist/Title,KOOL 108 - Artist/Title,Adult Hits,
KAOX,,107.9,SHELLEY,ID,USA,NEWS/TALK,NEWS TALK 107.9,31169,32,32,193,193,43-21-06,112-00-32,,HD,1183,,,News,
K300BP,KNDR 104.7,107.9,BEULAH,ND,USA,CONTEMPORARY CHRISTIAN,TODAY'S CHRISTIAN MUSIC,140134,0.25,0.25,56,0,47-18-23,101-43-35,,,,,,,
WKPA,,107.9,PORT MATILDA,PA,USA,CONTEMPORARY CHRISTIAN,K-LOVE,63546,0.45,0.45,358,358,40-55-11,77-58-28,,,,,,,
KQEL,,107.9,ALAMOGORDO,NM,USA,CLASSIC HITS,107.9 COOL FM,88083,3,3,-181,-181,32-53-13,105-57-04,,,,,,,
KVLY,,107.9,EDINBURG,TX,USA,HOT AC,107.9 RGV FM,67188,100,100,301,301,26-07-15,97-49-19,,HD,,,,,
KLNX-LP,,107.9,MINTURN,CO,USA,VARIETY,,131946,0.028,0.028,55,0,39-38-05,106-26-47,,,,,,,
W300BM,WERN-HD2 88.7,107.9,MADISON,WI,USA,CLASSICAL/JAZZ,WPR MUSIC,142547,0.17,0.17,0,0,43-03-21,89-32-06,,,6729,,,,
WFSD-LP,,107.9,TALLAHASSEE,FL,USA,RELIGIOUS TEACHING,LIFETALK RADIO,133160,0.059,0.059,39.2,39.2,30-26-36,84-13-37,,,,,,,
WVPS,,107.9,BURLINGTON,VT,USA,NEWS/TALK,VERMONT PUBLIC RADIO,69952,48.8,48.8,828,828,44-31-32,72-48-58,,HD,8DB4,THROUGHLINE VERMONT PUBLIC,WVPS HD Burlington | Throughline Vermont Public,Public,
WWRQ-FM,,107.9,VALDOSTA,GA,USA,URBAN CONTEMPORARY,BEAT 107.9,863,50,50,82,82,31-03-21,83-13-54,,,A98A,,,,
WDSY-FM,,107.9,PITTSBURGH,PA,USA,COUNTRY,Y-108 PITTSBURGH,18525,17.5,17.5,252,252,40-28-20,79-59-41,,HD,5.00E+80,Y108 Artist/Title,Y108,,
KKRF,,107.9,STUART,IA,USA,COUNTRY,K107.9,13822,9.4,9.4,150,150,41-27-40,94-29-22,,,2C27,KKRF - 107.9,Today's News and True Country Music,News,
K300BC,KKCV 102.5,107.9,GARDEN CITY,KS,USA,RELIGIOUS TEACHING,BOTT RADIO NETWORK,140519,0.25,0.25,92.8,0,37-57-27,100-48-45,,,422C,,,,
WLJX-LP,,107.9,SPRINGFIELD,IL,USA,GOSPEL MUSIC,,126157,0.1,0.1,13.5,13.5,39-43-11,89-45-10,,,,,,,
K300AP,KRKL 93.3,107.9,SUNNYSIDE,WA,USA,CONTEMPORARY CHRISTIAN,K-LOVE,142749,0.05,0.05,164.4,0,46-18-43,120-04-53,,,,,,,
K300AU,KXVX-LP 99.1,107.9,MOUNT PLEASANT,TX,USA,RELIGIOUS TEACHING,,156780,0.25,0.25,60.7,0,33-12-09,94-54-59,,,,,,,
K300ED,KNUQ-HD2,107.9,NAPILI,HI,USA,HAWAIIAN,THE BEAT,148202,0.25,0.25,838,0,20-50-30,156-53-54,,,,,,,
W300BR,WDSN 106.5,107.9,DUBOIS,PA,USA,ADULT CONTEMPORARY,SUNNY 106.5,158483,0.25,0.25,42.1,0,41-06-11,78-45-38,,,5.00E+75,,,,
K300BO,KVLT 88.5,107.9,KILLEEN,TX,USA,CONTEMPORARY CHRISTIAN,K-LOVE,149312,0.14,0.14,121.8,0,31-06-38,97-55-03,,,,,,,
K300BR,KWFL 99.3,107.9,CLOVIS,NM,USA,CONTEMPORARY CHRISTIAN,FAMILY LIFE NETWORK,150169,0,0.01,0,11.1,34-24-37,103-19-05,,,,,,,
K246BL,KVCM 103.1,107.9,LIVINGSTON,MT,USA,RELIGIOUS TEACHING,YOUR NETWORK OF PRAISE,146548,0,0.01,0,385,45-41-49,110-46-03,,,,,,,
KHDV,,107.9,DARBY,MT,USA,CLASSIC HITS,ROCKET 108,166088,10,10,110,110,46-13-46,114-14-01,,Silent,,,,,
WDWS-FM,,107.9,ARCOLA,IL,USA,COUNTRY,107.9 THE ROOSTER,57469,3.6,3,130,130,39-52-43,88-11-51,,,6FEE,,,,
KRVK,,107.9,VISTA WEST,WY,USA,ADULT HITS,107.9 JACK-FM,88406,15.5,15.5,591,591,42-44-37,106-18-26,,,,,,,
KQQK,,107.9,BEAUMONT,TX,USA,REGIONAL MEXICAN,EL NORTE,19087,90,90,596,596,30-01-01,94-32-47,Spanish,HD,3BEA,[TITLE] [ARTIST],[TITLE] con [ARTIST],Foreign Language,
K300EC,KALV-1430,107.9,WAYNOKA,OK,USA,COUNTRY,BIG COUNTRY 99.5,21795,0,0.25,0,0,36-34-55,98-52-13,,,,,,,ex 97.1 (K246BC)
KHEZ-LP,KHIS 89.9,107.9,CAPE GIRARDEAU,MO,USA,CONTEMPORARY CHRISTIAN,HIS RADIO,132259,0.1,0,22,0,37-20-14,89-36-24,,,,,,,K-LOVE
KBPL,,107.9,PUEBLO,CO,USA,ROCK,107.9 KBPI,40848,30,30,674,674,38-44-41,104-51-46,,HD,1A76,,,,
WZKX,,107.9,BAY ST. LOUIS,MS,USA,COUNTRY,KICKER 108,17477,100,100,465.2,465.2,30-45-05,89-03-24,,HD,97C7,KICKER 108 The Most and Best Country,Kicker 108 Playing: Title & Artist KICKER CONNECTION 896-4530...WWW.KICKER108.CO,Country,
WQJC-LP,,107.9,QUINCY,IL,USA,JAZZ,,125912,0.03,0.03,54,0,39-56-20,91-24-03,,,,,,,
WLHZ-LP,,107.9,SPRINGFIELD,MA,USA,RELIGIOUS,LA UNCION CELESTIAL,134242,0.007,0,112,0,42-08-60,72-41-17,Spanish,,7283,WLHZ-LP,Radio La Hora Zero Springfield - Online at WWW.LAHORAZERO.COM,Foreign Language,
W300BT,WAEB 104.1,107.9,HAZLETON,PA,USA,CONTEMPORARY HIT RADIO,B 104,156246,0.25,0.25,0,0,40-58-09,75-57-27,,,,,,,
K300BE,KDSO-1300,107.9,ASHLAND,OR,USA,SPORTS,THE ACE,140454,0,0.06,0,0,42-17-51,122-45-03,,,,,,,
KRFL-LP,,107.9,FULTON,MO,USA,RELIGIOUS TEACHING,REVELATION FOR LIVING,131905,0.1,0.1,29,0,38-50-29,91-57-01,,,,,,,3ABN
WMCB-LP,,107.9,GREENFIELD,MA,USA,VARIETY,,134902,0.1,0.1,-36,0,42-36-18,72-36-16,,,,,,,
KBPI,KBPL 107.9,107.9,FORT COLLINS,CO,USA,ROCK,107.9 KBPI,68976,100,100,266,266,40-53-42,105-11-49,,HD,1432,KBPI1079,,Rock,// K300CP 107.9
KTIC-FM,,107.9,WEST POINT,NE,USA,COUNTRY,107.9 THE BULL,33881,33,33,182,182,41-52-53,97-00-59,,,42FE,THE BULL,THE BULL - Title & Artist,Country,
K300DG,KAHL-1310,107.9,LIVE OAK,TX,USA,ADULT STANDARDS,,156293,0.25,0.25,0,0,29-36-06,98-23-02,,,,,,,// KAHL-FM 105.9
WYYD,,107.9,AMHERST,VA,USA,COUNTRY,NEW COUNTRY 107-9,74282,19,19,549,549,37-28-19,79-22-28,,,967B,108 WYYD,-,Country,
KIXS,,107.9,VICTORIA,TX,USA,COUNTRY,"KIXS 108, THE COUNTRY LEADER",25584,100,100,154,154,28-42-24,96-50-06,,,2788,KIXS 108,-,No Program Type or Undefined,
WDBN,,107.9,WRIGHTSVILLE,GA,USA,URBAN AC,107.9 JAMZ,15025,25,25,100,100,32-37-05,82-46-05,,,5CBB,JAMZ,107.9 JAMZ OLD SCHOOL,Rhythm and Blues,
KVTS-LP,,107.9,REPUBLIC,MO,USA,RELIGIOUS TEACHING,,132128,0.1,0.1,27.2324,27.2324,37-06-44,93-21-54,,,,,,,
W300BX,WMTT-FM 94.7,107.9,WELLSBORO,PA,USA,CLASSIC ROCK,THE MET,140301,0.25,0.25,0,0,41-44-41,77-17-33,,,,,,,
KXZT,KRKI 99.5,107.9,NEWELL,SD,USA,COUNTRY,TRUE COUNTRY - 99.5 AND 107.9,164201,4.8,0,455,0,44-19-40,103-50-06,,,,,,,
K300AZ,KAGF-LP,107.9,TWIN FALLS,ID,USA,RELIGIOUS TEACHING,,150127,0,0.015,0,-21,42-33-46,114-26-38,,,,,,,
WVAC-FM,,107.9,ADRIAN,MI,USA,ADULT ALTERNATIVE,,478,0.087,0.087,25.5,25.5,41-53-49,84-03-40,,,,,,,Adrian College
KUMT-FM1,KUMT 107.9,107.9,SALT LAKE CITY,UT,USA,TALK,BYU RADIO TOGETHER KUMT 107.9,106586,2.1,2.1,0,0,40-48-29,111-53-26,,,,,,,
WMRK-FM,,107.9,SHORTER,AL,USA,CONTEMPORARY CHRISTIAN,K-LOVE,59383,25,25,100,100,32-21-09,86-03-06,,HD,761C,,,,
WPZA,,107.9,CANTON,IL,USA,CONTEMPORARY CHRISTIAN,AIR1,22899,25,25,82,82,40-32-40,90-01-16,,,7ECE,,,,
KWLS,,107.9,WINFIELD,KS,USA,COUNTRY,US 107.9 - REAL AMERICAN COUNTRY,14239,50,50,150,150,37-15-46,96-53-43,,,4B48,,Big D & Bubba Mornings-KSN News 5 6 & 10-kwlsradio.com,,
WVMX,,107.9,WESTERVILLE,OH,USA,HOT AC,MIX 107.9,54556,3,3,143,143,40-14-42,82-55-49,,HD,8D6B,The Adult Hit Music Station,The Adult Hit Music Station,Adult Hits,
WFMX,,107.9,SKOWHEGAN,ME,USA,ADULT CONTEMPORARY,MIX 107.9,26388,32,32,129,129,44-33-16,69-44-29,,,632B,CLASSIC HITS AND THE BEST OF TODAY 107.9 THE MIX,MIXMAINE.COM FACEBOOK.COM/MIXMAINE,Classic Rock,
W300BY,WQAK 105.7,107.9,UNION CITY,TN,USA,ROCK,THE QUAKE 105.7,86931,0.03,0.03,184.1,0,36-24-48,89-08-59,,,,,,,
W300BU,WWPN 101.1,107.9,KEYSER,WV,USA,CONTEMPORARY CHRISTIAN,SPIRIT 101 FM,147836,0.005,0.005,0,0,39-31-22,78-58-25,,,,,,,
W300EF,WAVV 101.1 - HD,107.9,NAPLES,FL,USA,SMOOTH JAZZ,SMOOTH JAZZ 107.9,156550,0.25,0.25,68,0,26-20-30,81-42-38,,Silent,,,,,silent 2/1/25 loss of primary (WAVV-HD2)
K300BN,KLJH 107.1,107.9,MANCOS,CO,USA,CONTEMPORARY CHRISTIAN,SUPERSTATION,155841,0.25,0,442.5,0,37-21-52,108-08-50,,,,,,,
KWVE-FM4,KWVE-FM 107.9,107.9,SAN CLEMENTE,CA,USA,RELIGIOUS TEACHING,K-WAVE,174101,0,0.02,0,-169,33-52-35,117-39-41,,,,,,,// KWVE-1110
W300BD,WMCL-1060,107.9,MCLEANSBORO,IL,USA,COUNTRY,CLASSIC COUNTRY - WMCL 1060,150130,0.25,0.25,122,0,38-01-56,88-34-05,,,,,,,
KKLC,,107.9,FALL RIVER MILLS,CA,USA,CONTEMPORARY CHRISTIAN,K-LOVE,60022,13,13,650,650,40-54-23,121-49-39,,,,,,,
W300BP,WMIS-FM 92.1,107.9,GRAND RAPIDS,MN,USA,CHRISTIAN ROCK,THE RIVER 92.1- 107.9 - 95.3,150138,0.09,0.09,30.4,0,47-14-22,93-34-32,,,,,,,// K237FJ 95.3
WCDY,,107.9,MCBAIN,MI,USA,ADULT CONTEMPORARY,"THE NEW 107.9 CDY, CADILLAC'S HITS WITHOUT THE RAP.",183306,3.1,3.1,140,140,44-10-16,85-20-14,,,5A56,Online at www.facebook.com/1079WCDY,"Advertise on 1079 CDY, call 231-876-1079",No Program Type or Undefined,
